unit_id,granularity,poem_id,卷,集类,集类号,诗类,题目,小序,组诗题,source_indices,reconstruction_mode,编号,作年,poem_source,注释引书_归一书名,初学记艺文类聚共同典源_归一书名,初学记艺文类聚共同典源_数量,是否涉及初学记艺文类聚共同典源,引文片段级共同典源_归一书名,引文片段级共同典源_数量,是否涉及引文片段级共同典源,verse_count,line_count,text,embedding_text,embedding_chars
0,poem,0,卷一,,,諷諭,賀雨,,,0,revised_jsonl_direct,0001,809,revised_jsonl,谱；笺；与元九书；白氏文集；两都赋序；诗品；晋记室左思；礼记；诗；唐摭言；宋高僧传；后唐明州国宁寺𧦪光传；梁书；陈书；尔雅；论语；墨子；吕氏春秋；左传；汤诰；泰誓；旧唐书；资治通鉴；奏请加德音中节目状；通鉴；书；谷梁传；汉书；天保；采薇；新唐书；刘辟传；李锜传；鹡鸰颂；寄题江外草堂；雨雹对；孟子；说苑；周礼；唐两京城坊考；大典；图；宫词；雍录；朝堂讳榜表；后汉书；病橘；乐府诗集；伤歌行；荀子；管子；易；往在；幽思赋；集传；闲居赋；省试风光草际浮；皇初颂；滁城对雪；奉和上元酺宴应诏；忆夜直金銮殿承旨；仪礼；日知录；楚语；周书；求存问亲戚疏；送綦毋秘书弃官还江东；史记,礼记；诗；尔雅；论语；墨子；吕氏春秋；左传；书；谷梁传；汉书；孟子；说苑；周礼；图；后汉书；管子；易；闲居赋；仪礼；周书；史记,21,True,,0,False,1,64,"皇帝嗣寶曆
元和三年冬
自冬及春暮
不雨旱爞爞
上心念下民
懼歲成災凶
遂下罪己詔
殷勤告萬邦
帝曰予一人
繼天承祖宗
憂勤不遑寧
夙夜心忡忡
元年誅劉闢
一舉靖巴邛
二年戮李錡
不戰安江東
顧惟眇眇德
遽有巍巍功
或者天降沴
無乃儆予躬
上思答天戒
下思致時邕
莫如率其身
慈和與儉恭
乃命罷進獻
乃命賑饑窮
宥死降五刑
已責寬三農
宮女出宣徽
厩馬減飛龍
庶政靡不舉
皆出自宸衷
奔騰道路人
傴僂田野翁
歡呼相告報
感泣涕沾胸
順人人心悦
先天天意從
詔下纔七日
和氣生沖融
凝爲悠悠雲
散作習習風
晝夜三日雨
淒淒復濛濛
萬心春熙熙
百穀青芃芃
人變愁爲喜
歲易儉爲豐
乃知王者心
憂樂與衆同
皇天與后土
所感無不通
冠珮何鏘鏘
將相及王公
蹈舞呼萬歲
列賀明庭中
小臣誠愚陋
職忝金鑾宮
稽首再三拜
一言獻天聰
君以明爲聖
臣以直爲忠
敢賀有其始
亦願有其終","賀雨皇帝嗣寶曆
元和三年冬
自冬及春暮
不雨旱爞爞
上心念下民
懼歲成災凶
遂下罪己詔
殷勤告萬邦
帝曰予一人
繼天承祖宗
憂勤不遑寧
夙夜心忡忡
元年誅劉闢
一舉靖巴邛
二年戮李錡
不戰安江東
顧惟眇眇德
遽有巍巍功
或者天降沴
無乃儆予躬
上思答天戒
下思致時邕
莫如率其身
慈和與儉恭
乃命罷進獻
乃命賑饑窮
宥死降五刑
已責寬三農
宮女出宣徽
厩馬減飛龍
庶政靡不舉
皆出自宸衷
奔騰道路人
傴僂田野翁
歡呼相告報
感泣涕沾胸
順人人心悦
先天天意從
詔下纔七日
和氣生沖融
凝爲悠悠雲
散作習習風
晝夜三日雨
淒淒復濛濛
萬心春熙熙
百穀青芃芃
人變愁爲喜
歲易儉爲豐
乃知王者心
憂樂與衆同
皇天與后土
所感無不通
冠珮何鏘鏘
將相及王公
蹈舞呼萬歲
列賀明庭中
小臣誠愚陋
職忝金鑾宮
稽首再三拜
一言獻天聰
君以明爲聖
臣以直爲忠
敢賀有其始
亦願有其終",385
1,poem,1,卷一,,,諷諭,讀張籍古樂府,,,1,revised_jsonl_direct,0002,815,revised_jsonl,笺；唐书；张司业集；全唐诗；古乐府飞龙曲留上陈左相；杂怨；古乐府杂怨；乐府新歌应教；旧唐书；学仙；董公；送李二十九兄员外赴邠宁使幕；题文集柜；毛诗序；周礼；盐铁论；论衡；晋书；董公诗；汉书；商女；勤齐；历阳壮士勤将军名思齐歌序；江南通志；舆记志古迹；论语；孟子；淮南子；易；诗；七契；食货志；后汉书；新唐书；说郛；梅妃传；一斛珠；左传；文心雕龙；与元九书；白氏文集；书怀；寄张籍；酬张十八访宿见赠；长安志；唐两京城坊考,毛诗序；周礼；盐铁论；论衡；晋书；汉书；论语；孟子；淮南子；易；诗；后汉书；左传,13,True,,0,False,1,40,"張君何爲者
業文三十春
尤工樂府詩
舉代少其倫
爲詩意如何
六義互鋪陳
風雅比興外
未嘗著空文
讀君學仙詩
可諷放佚君
讀君董公詩
可誨貪暴臣
讀君商女詩
可感悍婦仁
讀君勤齊詩
可勸薄夫敦
上可裨教化
舒之濟萬民
下可理情性
卷之善一身
始從青衿歲
迨此白髮新
日夜秉筆吟
心苦力亦勤
時無采詩官
委棄如泥塵
恐君百歲後
滅没人不聞
願藏中秘書
百代不湮淪
願播内樂府
時得聞至尊
言者志之苗
行者文之根
所以讀君詩
亦知君爲人
如何欲五十
官小身賤貧
病眼街西住
無人行到門","讀張籍古樂府張君何爲者
業文三十春
尤工樂府詩
舉代少其倫
爲詩意如何
六義互鋪陳
風雅比興外
未嘗著空文
讀君學仙詩
可諷放佚君
讀君董公詩
可誨貪暴臣
讀君商女詩
可感悍婦仁
讀君勤齊詩
可勸薄夫敦
上可裨教化
舒之濟萬民
下可理情性
卷之善一身
始從青衿歲
迨此白髮新
日夜秉筆吟
心苦力亦勤
時無采詩官
委棄如泥塵
恐君百歲後
滅没人不聞
願藏中秘書
百代不湮淪
願播内樂府
時得聞至尊
言者志之苗
行者文之根
所以讀君詩
亦知君爲人
如何欲五十
官小身賤貧
病眼街西住
無人行到門",245
2,poem,2,卷一,,,諷諭,孔戡,,,2,revised_jsonl_direct,0003,810,revised_jsonl,谱；笺；旧唐书；唐朝散大夫赠司勋员外郎孔君墓志铭；礼记；新唐书；述祖德诗二首；侠客行；后汉书；写怀二首；卢从史传；书；褚渊碑文；文选；题云门山寄越府包户曹徐起居；魏书；和答诗十首；秋日台中寄怀简诸僚；论语；易；楚辞；庄子；世说新语；拟古九首；赠贾岛；与山巨源绝交书；王梵志诗校注；与庾冰诗；感遇诗,礼记；后汉书；书；魏书；论语；易；楚辞；庄子,8,True,,0,False,1,32,"洛陽誰不死
戡死聞長安
我是知戡者
聞之涕泫然
戡佐山東軍
非義不可干
拂衣向西來
其道直如絃
從事得如此
人人以爲難
人言明明代
合置在朝端
或望居諫司
有事戡必言
或望居憲府
有邪戡必彈
惜哉兩不諧
没齒爲閑官
竟不得一日
謇謇立君前
形骸隨衆人
歛葬北邙山
平生剛腸内
直氣歸其間
賢者爲生民
生死懸在天
謂天不愛人
胡爲生其賢
爲天果愛民
胡爲奪其年
茫茫元化中
誰執如此權","孔戡洛陽誰不死
戡死聞長安
我是知戡者
聞之涕泫然
戡佐山東軍
非義不可干
拂衣向西來
其道直如絃
從事得如此
人人以爲難
人言明明代
合置在朝端
或望居諫司
有事戡必言
或望居憲府
有邪戡必彈
惜哉兩不諧
没齒爲閑官
竟不得一日
謇謇立君前
形骸隨衆人
歛葬北邙山
平生剛腸内
直氣歸其間
賢者爲生民
生死懸在天
謂天不愛人
胡爲生其賢
爲天果愛民
胡爲奪其年
茫茫元化中
誰執如此權",193
3,poem,3,卷一,,,諷諭,凶宅,,,3,revised_jsonl_direct,0004,,revised_jsonl,太平广记；韦协律兄；玄怪录；韩朝宗；朝野佥载；苏遏；唐两京城坊考；轻薄篇；长安道；伤歌行；奉和往虎窟山寺诗；太平御览；新论；赠何郎诗；登大雷岸与妹书；礼记；七发；文选；说文；捜神记；冬日晚郡事隙诗；孟门行；诗；楚辞；魏书；易；荀子；说苑；过秦论上；战国策书录；左传；汉书；旧唐书；老子化胡经；老君十六变词；史记；为袁绍檄豫州,新论；礼记；说文；诗；楚辞；魏书；易；说苑；左传；汉书；史记,11,True,,0,False,1,44,"長安多大宅
列在街西東
往往朱門内
房廊相對空
梟鳴松桂枝
狐藏蘭菊叢
蒼苔黄葉地
日暮多旋風
前主爲將相
得罪竄巴庸
後主爲公卿
寢疾殁其中
連延四五主
殃禍繼相鍾
自從十年來
不利主人翁
風雨壞簷隙
蛇鼠穿牆墉
人疑不敢買
日毀土木功
嗟嗟俗人心
甚矣其愚蒙
但恐災將至
不思禍所從
我今題此詩
欲悟迷者胸
凡爲大官人
年祿多高崇
權重持難久
位高勢易窮
驕者物之盈
老者數之終
四者如寇盜
日夜來相攻
假使居吉土
孰能保其躬
因小以明大
借家可諭邦
周秦宅崤函
其宅非不同
一興八百年
一死望夷宮
寄語家與國
人凶非宅凶","凶宅長安多大宅
列在街西東
往往朱門内
房廊相對空
梟鳴松桂枝
狐藏蘭菊叢
蒼苔黄葉地
日暮多旋風
前主爲將相
得罪竄巴庸
後主爲公卿
寢疾殁其中
連延四五主
殃禍繼相鍾
自從十年來
不利主人翁
風雨壞簷隙
蛇鼠穿牆墉
人疑不敢買
日毀土木功
嗟嗟俗人心
甚矣其愚蒙
但恐災將至
不思禍所從
我今題此詩
欲悟迷者胸
凡爲大官人
年祿多高崇
權重持難久
位高勢易窮
驕者物之盈
老者數之終
四者如寇盜
日夜來相攻
假使居吉土
孰能保其躬
因小以明大
借家可諭邦
周秦宅崤函
其宅非不同
一興八百年
一死望夷宮
寄語家與國
人凶非宅凶",265
4,poem,4,卷一,,,諷諭,夢仙,,,4,revised_jsonl_direct,0005,,revised_jsonl,云笈七签；道教三洞宗元；上清源统经目注序；列仙传；道士王纂；楚辞；洛神赋；魏书；四梵三界三十二天；史记；秦始皇本纪；太平广记；汉武帝；汉武内传；淮南子；桥陵诗三十韵；养性延命录；抱朴子内篇；陵阳子明经；捜神记；古诗十九首；养生论；以服散鎗赠殷钧别诗；蔡经；司马承祯；续仙传；题随州紫阳先生壁；汉书音义；三国志；典论；太清丹经；九鼎丹经；金液丹经；列子；赠白马王彪诗,列仙传；楚辞；洛神赋；魏书；史记；汉武内传；淮南子；列子,8,True,,0,False,1,48,"人有夢仙者
夢身升上清
坐乘一白鶴
前引雙紅旌
羽衣忽飄飄
玉鸞俄錚錚
半空直下視
人世塵冥冥
漸失鄉國處
纔分山水形
東海一片白
列岳五點青
須臾羣仙來
相引朝玉京
安期羨門輩
列侍如公卿
仰謁玉皇帝
稽首前致誠
帝言汝仙才
努力勿自輕
却後十五年
期汝不死庭
再拜受斯言
即寤喜且驚
秘之不敢泄
誓志居巖扃
恩愛捨骨肉
飲食斷羶腥
朝餐雲母散
夜吸沆瀣精
空山三十載
日望輜輧迎
前期過已久
鸞鶴無來聲
齒髮日衰白
耳目減聰明
一朝同物化
身與糞壤并
神仙信有之
俗力非可營
苟無金骨相
不列丹臺名
徒傳辟穀法
虛受燒丹經
只自取勤苦
百年終不成
悲哉夢仙人
一夢誤一生","夢仙人有夢仙者
夢身升上清
坐乘一白鶴
前引雙紅旌
羽衣忽飄飄
玉鸞俄錚錚
半空直下視
人世塵冥冥
漸失鄉國處
纔分山水形
東海一片白
列岳五點青
須臾羣仙來
相引朝玉京
安期羨門輩
列侍如公卿
仰謁玉皇帝
稽首前致誠
帝言汝仙才
努力勿自輕
却後十五年
期汝不死庭
再拜受斯言
即寤喜且驚
秘之不敢泄
誓志居巖扃
恩愛捨骨肉
飲食斷羶腥
朝餐雲母散
夜吸沆瀣精
空山三十載
日望輜輧迎
前期過已久
鸞鶴無來聲
齒髮日衰白
耳目減聰明
一朝同物化
身與糞壤并
神仙信有之
俗力非可營
苟無金骨相
不列丹臺名
徒傳辟穀法
虛受燒丹經
只自取勤苦
百年終不成
悲哉夢仙人
一夢誤一生",289
5,poem,5,卷一,,,諷諭,觀刈麥,,,5,revised_jsonl_direct,0006,807,revised_jsonl,谱；笺；元和郡县志；春晓；后汉书；礼记；孟子；公羊传；三国志；魏略；太平广记；番禺村女；稽神录；东阳夜怪录；诗；观田家；列子；行官张望补稻畦水归；汉书；冬至诗,后汉书；礼记；孟子；公羊传；魏略；诗；列子；汉书；冬至诗,9,True,,0,False,1,26,"田家少閑月
五月人倍忙
夜來南風起
小麥覆隴黄
婦姑荷簞食
童稚攜壺漿
相隨餉田去
丁壯在南崗
足蒸暑土氣
背灼炎天光
力盡不知熱
但惜夏日長
復有貧婦人
抱子在其傍
右手秉遺穗
左臂懸弊筐
聽其相顧言
聞者爲悲傷
家田輸税盡
拾此充飢腸
今我何功德
曾不事農桑
吏祿三百石
歲晏有餘糧
念此私自愧
盡日不能忘","觀刈麥田家少閑月
五月人倍忙
夜來南風起
小麥覆隴黄
婦姑荷簞食
童稚攜壺漿
相隨餉田去
丁壯在南崗
足蒸暑土氣
背灼炎天光
力盡不知熱
但惜夏日長
復有貧婦人
抱子在其傍
右手秉遺穗
左臂懸弊筐
聽其相顧言
聞者爲悲傷
家田輸税盡
拾此充飢腸
今我何功德
曾不事農桑
吏祿三百石
歲晏有餘糧
念此私自愧
盡日不能忘",158
6,poem,6,卷一,,,諷諭,題海圖屏風,,,6,revised_jsonl_direct,0007,809,revised_jsonl,谱；笺；海图屏风；白氏文集；请罢兵第二状；东坡志林；临汉隐居诗话；魏都赋；文选；列子；史记；吴都赋；列仙传；鲁灵光殿赋；左氏传；左传；楚辞；汉书；反离骚；沧海赋；海赋；书,魏都赋；列子；史记；列仙传；左氏传；左传；楚辞；汉书；沧海赋；海赋；书,11,True,,0,False,1,26,"海水無風時
波濤安悠悠
鱗介無小大
遂性各沉浮
突兀海底鼇
首冠三神丘
鈎網不能制
其來非一秋
或者不量力
謂兹鼇可求
屓贔牽不動
綸絶沉其鈎
一鼇既頓頷
諸鼇齊掉頭
白濤與黑浪
呼吸繞咽喉
噴風激飛廉
鼓波怒陽侯
鯨鯢得其便
張口欲吞舟
萬里無活鱗
百川多倒流
遂使江漢水
朝宗意亦休
蒼然屏風上
此畫良有由","題海圖屏風海水無風時
波濤安悠悠
鱗介無小大
遂性各沉浮
突兀海底鼇
首冠三神丘
鈎網不能制
其來非一秋
或者不量力
謂兹鼇可求
屓贔牽不動
綸絶沉其鈎
一鼇既頓頷
諸鼇齊掉頭
白濤與黑浪
呼吸繞咽喉
噴風激飛廉
鼓波怒陽侯
鯨鯢得其便
張口欲吞舟
萬里無活鱗
百川多倒流
遂使江漢水
朝宗意亦休
蒼然屏風上
此畫良有由",160
7,poem,7,卷一,,,諷諭,羸駿,,,7,revised_jsonl_direct,0008,,revised_jsonl,庄子；天育骠骑歌；战国策；昔游；史记；韩诗外传；旧唐书；楚辞,庄子；战国策；史记；韩诗外传；楚辞,5,True,,0,False,1,16,"驊騮失其主
羸餓無人牧
向風嘶一聲
莽蒼黄河曲
踏冰水畔立
卧雪冢間宿
歲暮田野空
寒草不滿腹
豈無市駿者
盡是凡人目
相馬失於瘦
遂遺千里足
村中何擾擾
有吏徵芻粟
輸彼軍厩中
化作駑駘肉","羸駿驊騮失其主
羸餓無人牧
向風嘶一聲
莽蒼黄河曲
踏冰水畔立
卧雪冢間宿
歲暮田野空
寒草不滿腹
豈無市駿者
盡是凡人目
相馬失於瘦
遂遺千里足
村中何擾擾
有吏徵芻粟
輸彼軍厩中
化作駑駘肉",97
8,poem,8,卷一,,,諷諭,廢琴,,,8,revised_jsonl_direct,0009,,revised_jsonl,新论；通典；清调；琴调；五弄调；楚调四弄调；弹幽琴；岳上逢琴；伤离新体诗；礼记；乐部曹观乐诗；文赋；文选；长笛赋；风俗通；拟咏怀诗；谏逐客书；善哉行,新论；礼记；文赋；长笛赋；风俗通,5,True,,0,False,1,12,"絲桐合爲琴
中有太古聲
古聲淡無味
不稱今人情
玉徽光彩滅
朱絃塵土生
廢棄來已久
遺音尚泠泠
不辭爲君彈
縱彈人不聽
何物使之然
羌笛與秦箏","廢琴絲桐合爲琴
中有太古聲
古聲淡無味
不稱今人情
玉徽光彩滅
朱絃塵土生
廢棄來已久
遺音尚泠泠
不辭爲君彈
縱彈人不聽
何物使之然
羌笛與秦箏",73
9,poem,9,卷一,,,諷諭,李都尉古劍,,,9,revised_jsonl_direct,0010,,revised_jsonl,笺；文选；杂体诗；李都尉陵；杂感；春听琵琶兼简长孙司户；李都尉重阳日得苏属国书；全唐诗；拟连珠；结客少年场行；从军行；宝剑篇；酬张夏；晋书；庄子；别沈助教诗；门有车马客行；白孔六帖；越绝书；侠客控绝影诗；姚秀才爱予小剑因赠；武军赋；重赠卢谌；汉书；题剑；七命,晋书；庄子；汉书,3,True,,0,False,1,18,"古劍寒黯黯
鑄來幾千秋
白光納日月
紫氣排斗牛
有客借一觀
愛之不敢求
湛然玉匣中
秋水澄不流
至寶有本性
精剛無與儔
可使寸寸折
不能繞指柔
願快直士心
將斷佞臣頭
不願報小怨
夜半刺私讎
勸君慎所用
無作神兵羞","李都尉古劍古劍寒黯黯
鑄來幾千秋
白光納日月
紫氣排斗牛
有客借一觀
愛之不敢求
湛然玉匣中
秋水澄不流
至寶有本性
精剛無與儔
可使寸寸折
不能繞指柔
願快直士心
將斷佞臣頭
不願報小怨
夜半刺私讎
勸君慎所用
無作神兵羞",112
10,poem,10,卷一,,,諷諭,雲居寺孤桐,,,10,revised_jsonl_direct,0011,,revised_jsonl,笺；全唐文；唐云居寺故寺主律大德神道碑铭；游云居寺赠穆三十六地主；畿辅通志；蕉廊脞录；寄王质夫；和从驾登云居寺塔诗；云居寺高顶诗；题度支杂事典庭中柏树；老子；孝武帝哀策文,老子,1,True,,0,False,1,14,"一株青玉立
千葉綠雲委
亭亭五丈餘
高意猶未已
山僧年九十
清淨老不死
自云手種時
一顆青桐子
直從萌芽拔
高自毫末始
四面無附枝
中心有通理
寄言立身者
孤直當如此","雲居寺孤桐一株青玉立
千葉綠雲委
亭亭五丈餘
高意猶未已
山僧年九十
清淨老不死
自云手種時
一顆青桐子
直從萌芽拔
高自毫末始
四面無附枝
中心有通理
寄言立身者
孤直當如此",88
11,poem,11,卷一,,,諷諭,京兆府新栽蓮,,,11,revised_jsonl_direct,0012,807,revised_jsonl,谱；笺；元和郡县志；乐府诗集；西都赋；论衡；自京赴奉先县咏怀；秋池一株莲诗；楚辞；诗；过始宁墅诗；高松赋,西都赋；论衡；楚辞；诗,4,True,,0,False,1,16,"污溝貯濁水
水上葉田田
我來一長歎
知是東溪蓮
下有清泥污
馨香無復全
上有紅塵撲
顔色不得鮮
物性猶如此
人事亦宜然
託根非其所
不如遭棄捐
昔在溪中日
花葉媚清漣
今來不得地
顦顇府門前","京兆府新栽蓮污溝貯濁水
水上葉田田
我來一長歎
知是東溪蓮
下有清泥污
馨香無復全
上有紅塵撲
顔色不得鮮
物性猶如此
人事亦宜然
託根非其所
不如遭棄捐
昔在溪中日
花葉媚清漣
今來不得地
顦顇府門前",101
12,poem,12,卷一,,,諷諭,月燈閣避暑,,,12,revised_jsonl_direct,0013,,revised_jsonl,双白簃唐诗卮谈；文学遗产；酬翰林白学士代书一百韵；南部新书；唐摭言；咸宁县志；地理志；隋唐文化；楚辞；论衡；戊申岁六月中遇火；左传；桃花源诗；景福殿赋；入奏行赠西山检察使窦侍御；登楼赋,楚辞；论衡；左传；登楼赋,4,True,,0,False,1,16,"旱久炎氣甚
中去人若燔燒
清風隱何處
草樹不動摇
何以避暑氣
無如出塵囂
行行都門外
佛閣正岧嶤
清凉近高生
煩熱委靜銷
開襟當軒坐
意泰神飄飄
迴看歸路傍
禾黍盡枯焦
獨善誠有計
將何救旱苗","月燈閣避暑旱久炎氣甚
中去人若燔燒
清風隱何處
草樹不動摇
何以避暑氣
無如出塵囂
行行都門外
佛閣正岧嶤
清凉近高生
煩熱委靜銷
開襟當軒坐
意泰神飄飄
迴看歸路傍
禾黍盡枯焦
獨善誠有計
將何救旱苗",101
13,poem,13,卷一,,,諷諭,初授拾遺,,,13,revised_jsonl_direct,0014,808,revised_jsonl,笺；初授拾遗献书；白氏文集；和许给事中直夜简诸公；酬于侍郎湖南见寄十四韵；论语；三国志；季汉辅臣赞；送薛据宰涉县；封丘作；新唐书；旧唐书；唐故工部员外郎杜君墓系铭；三大礼赋；唐书；易；蹇；蒙求；草堂记；自诫令；五君咏；赠清漳明府侄聿；书；汉书；唐六典；敕赐百官樱桃；与元九书；论制科人状；醉后走笔酬刘五主簿长句之赠兼简张大贾二十四先辈昆季；纪怀赠李六户曹崔二十功曹五十韵；升平词,论语；易；书；汉书,4,True,,0,False,1,20,"奉詔登左掖
束帶參朝議
何言初命卑
且脱風塵吏
杜甫陳子昂
才名括天地
當時非不遇
尚無過斯位
况予蹇薄者
寵至不自意
驚近白日光
慚非青雲器
天子方從諫
朝庭無忌諱
豈不思匪躬
適遇時無事
受命已旬月
飽食隨班次
諫紙忽盈箱
對之終自愧","初授拾遺奉詔登左掖
束帶參朝議
何言初命卑
且脱風塵吏
杜甫陳子昂
才名括天地
當時非不遇
尚無過斯位
况予蹇薄者
寵至不自意
驚近白日光
慚非青雲器
天子方從諫
朝庭無忌諱
豈不思匪躬
適遇時無事
受命已旬月
飽食隨班次
諫紙忽盈箱
對之終自愧",123
14,poem,14,卷一,,,諷諭,贈元稹,,,14,revised_jsonl_direct,0015,806,revised_jsonl,笺；唐书；白氏文集；河南元公墓志铭；旧唐书；史记；蓝田山庄；咏史；君子行；竹枝词；诗；咏竹诗；和王护军秋夕诗；报任安书；三国志；赠崔侍郎；大乘起信论；奉和武帝三教诗；自衡阳至韶州谒能禅师,史记；诗；咏竹诗,3,True,,0,False,1,24,"自我從宦遊
七年在長安
所得唯元君
乃知定交難
豈無山上苗
徑寸無歲寒
豈無要津水
咫尺有波瀾
之子異於是
久處誓不諼
無波古井水
有節秋竹竿
一爲同心友
三及芳歲闌
花下鞍馬遊
雪中杯酒歡
衡門相逢迎
不具帶與冠
春風日高睡
秋月夜深看
不爲同登科
不爲同署官
所合在方寸
心源無異端","贈元稹自我從宦遊
七年在長安
所得唯元君
乃知定交難
豈無山上苗
徑寸無歲寒
豈無要津水
咫尺有波瀾
之子異於是
久處誓不諼
無波古井水
有節秋竹竿
一爲同心友
三及芳歲闌
花下鞍馬遊
雪中杯酒歡
衡門相逢迎
不具帶與冠
春風日高睡
秋月夜深看
不爲同登科
不爲同署官
所合在方寸
心源無異端",146
15,poem,15,卷一,,,諷諭,哭劉敦質,,,15,revised_jsonl_direct,0016,804,revised_jsonl,笺；感化寺见元九刘三十二题名处；常乐里闲居偶题十六韵兼寄刘十五公舆……刘三十二敦质；元和姓纂；新唐书；答王十二寒夜独酌有怀；哭吕衡州时予方谪居；诗；楚辞；左传；河间张平子碑；魏书；与元九书；咏史；赠别于群投笔赴安西；易；象；文言；周易；东都赋；春秋；文选,诗；楚辞；左传；魏书；易；象；周易；春秋,8,True,,0,False,1,14,"小樹兩株柏
新土三尺墳
蒼蒼白露草
此地哭劉君
哭君豈無辭
辭云君子人
如何天不弔
窮悴至終身
愚者多貴壽
賢者獨賤迍
龍亢彼無悔
蠖屈此不伸
哭罷持此辭
吾將詰羲文","哭劉敦質小樹兩株柏
新土三尺墳
蒼蒼白露草
此地哭劉君
哭君豈無辭
辭云君子人
如何天不弔
窮悴至終身
愚者多貴壽
賢者獨賤迍
龍亢彼無悔
蠖屈此不伸
哭罷持此辭
吾將詰羲文",87
16,poem,16,卷一,,,諷諭,答友問,,,16,revised_jsonl_direct,0017,,revised_jsonl,礼记；老子；卜疑；说苑；论衡；汉书；后汉书；山海经图赞；淮南子,礼记；老子；说苑；论衡；汉书；后汉书；淮南子,7,True,,0,False,1,10,"大圭廉不割
利劍用不缺
當其斬馬時
良玉不如鐵
置鐵在洪爐
鐵消易如雪
良玉同其中
三日燒不熱
君疑才與德
詠此知優劣","答友問大圭廉不割
利劍用不缺
當其斬馬時
良玉不如鐵
置鐵在洪爐
鐵消易如雪
良玉同其中
三日燒不熱
君疑才與德
詠此知優劣",62
17,poem,17,卷一,,,諷諭,雜興三首其一,,,17,revised_jsonl_direct,0018,,revised_jsonl,左传；国语；史记；三国志；蜀书；襄阳记；易；西京赋；文选；代东武吟；秋兴赋；游猎篇；洛神赋；七启；白马篇；说文；行路难；乐府诗集；神弦歌；书；礼记；子虚赋；吕氏春秋；直谏；战国策；淮南子；联句；秋夜；结客少年场行；三月三日洛水作；哀江头；闲情赋；奉同郭给事汤东灵湫作；祭告智𫖮文；白纻辞；列女传,左传；国语；史记；襄阳记；易；西京赋；秋兴赋；洛神赋；说文；书；礼记；吕氏春秋；战国策；淮南子；列女传,15,True,,0,False,1,26,"楚王多内寵
傾國選嬪妃
又愛從禽樂
馳騁每相隨
錦韝臂花隼
羅袂控金羈
遂習宮中女
皆如馬上兒
色禽合爲荒
刑政兩已衰
雲夢春仍獵
章華夜不歸
東風二月天
春雁正離離
美人挾銀鏑
一發疊雙飛
飛鴻驚斷行
斂翅避蛾眉
君王顧之笑
弓箭生光輝
迴眸語君曰
昔聞莊王時
有一愚夫人
其名曰樊姬
不有此遊樂
三載斷鮮肥","雜興三首其一楚王多内寵
傾國選嬪妃
又愛從禽樂
馳騁每相隨
錦韝臂花隼
羅袂控金羈
遂習宮中女
皆如馬上兒
色禽合爲荒
刑政兩已衰
雲夢春仍獵
章華夜不歸
東風二月天
春雁正離離
美人挾銀鏑
一發疊雙飛
飛鴻驚斷行
斂翅避蛾眉
君王顧之笑
弓箭生光輝
迴眸語君曰
昔聞莊王時
有一愚夫人
其名曰樊姬
不有此遊樂
三載斷鮮肥",161
18,poem,18,卷一,,,諷諭,雜興三首其二,,,18,revised_jsonl_direct,0019,,revised_jsonl,国语；公羊传；群书治要；六韬；左传；和王著作融八公山；野居池上看月；游南亭夜还叙志七十韵；滕王阁序；享龙池乐章；楚辞；尔雅；本草；答曹思文难神灭论,国语；公羊传；六韬；左传；楚辞；尔雅；本草,7,True,,0,False,1,20,"越國政初荒
越天旱不已
風日燥水田
水涸塵飛起
國中新下令
官渠禁流水
流水不入田
壅入王宮裏
餘波養魚鳥
倒影浮樓雉
澹灧九折池
縈迴十餘里
四月芰荷發
越王日遊嬉
左右好風來
香動芙蓉蘂
但愛芙蓉香
又種芙蓉子
不念閶門外
千里稻苗死","雜興三首其二越國政初荒
越天旱不已
風日燥水田
水涸塵飛起
國中新下令
官渠禁流水
流水不入田
壅入王宮裏
餘波養魚鳥
倒影浮樓雉
澹灧九折池
縈迴十餘里
四月芰荷發
越王日遊嬉
左右好風來
香動芙蓉蘂
但愛芙蓉香
又種芙蓉子
不念閶門外
千里稻苗死",125
19,poem,19,卷一,,,諷諭,雜興三首其三,,,19,revised_jsonl_direct,0020,,revised_jsonl,左传；韩非子；吴都赋；汉书；戏萧娘；怨歌行；吴越春秋；后汉书；洛阳伽蓝记；谏逐客书；抱朴子内篇；新唐书；郑注传；舞鹤赋；文选；论语；晋书；旧唐书；东京赋；尚书；计然；史记；越绝书；国语；白居易诗选；唐会要；白居易选集；资治通鉴,左传；汉书；吴越春秋；后汉书；舞鹤赋；论语；晋书；尚书；史记；国语,10,True,,0,False,1,20,"吳王心日侈
服玩盡奇瓌
身卧翠羽帳
手持紅玉杯
冠垂明月珠
帶束通天犀
行動自矜顧
數步一徘徊
小人知所好
懷寶四方來
奸邪得藉手
從此倖門開
古稱國之寶
穀米與賢才
今看君王眼
視之如塵灰
伍員諫已死
浮屍去不迴
姑蘇臺下草
麋鹿暗生麑","雜興三首其三吳王心日侈
服玩盡奇瓌
身卧翠羽帳
手持紅玉杯
冠垂明月珠
帶束通天犀
行動自矜顧
數步一徘徊
小人知所好
懷寶四方來
奸邪得藉手
從此倖門開
古稱國之寶
穀米與賢才
今看君王眼
視之如塵灰
伍員諫已死
浮屍去不迴
姑蘇臺下草
麋鹿暗生麑",125
